DATE,PRCP,TAVG
1947-03,1.73,30.1
1947-04,3.68,42.9
1947-05,4.35,49.9
1947-06,3.99,60.9
1947-07,2.17,68.8
1947-08,1.58,75.7
1947-09,6.03,63.9
1947-10,1.85,59.4
1947-11,2.82,32.7
1947-12,1.72,26.9
1948-01,0.5,13.2
1948-02,2.13,19.5
1948-03,2.85,30.3
1948-04,2.97,50.9
1948-05,2.9,55.2
1948-06,2.56,66.8
1948-07,2.55,73.8
1948-08,0.7,72.4
1948-09,1.87,65.7
1948-10,1.3,48.2
1948-11,3.57,39.5
1948-12,1.76,24.8
1949-01,1.97,20.8
1949-02,1.27,19.9
1949-03,2.35,32.7
1949-04,1.1,46.4
1949-05,2.22,59.3
1949-06,6.43,71
1949-07,5.76,75.2
1949-08,2.2,72
1949-09,1.13,56.7
1949-10,1.86,53.6
1949-11,1.04,36.9
1949-12,1.7,25.4
1950-01,2.43,20.7
1950-02,1.66,20.9
1950-03,2.35,27.7
1950-04,2.67,39.5
1950-05,3.43,57.9
1950-06,6.24,66.6
1950-07,10.93,69.7
1950-08,2.7,66.1
1950-09,2.09,60.9
1950-10,1.23,54.6
1950-11,1.04,30.8
1950-12,1.97,15.8
1951-01,1.44,13.7
1951-02,1.7,19.8
1951-03,2.14,28.7
1951-04,4.43,43.9
1951-05,3,60.9
1951-06,2.55,64.2
1951-07,3.08,70.8
1951-08,3.09,67
1951-09,1.57,58.7
1951-10,5.37,50
1951-11,2.18,28.2
1951-12,1.47,20.3
1952-01,2.21,20.5
1952-02,0.6,27.2
1952-03,2.92,29.4
1952-04,1.21,49.4
1952-05,3.19,57.3
1952-06,4.08,69.7
1952-07,7.6,74
1952-08,4.74,68.8
1952-09,0.49,61.8
1952-10,0.06,44.2
1952-11,2.94,39
1952-12,1.67,27.4
1953-01,0.65,22.8
1953-02,2.77,25
1953-03,2.58,33.8
1953-04,3.12,43
1953-05,1.02,58.2
1953-06,5.15,70.5
1953-07,4.28,73
1953-08,3.49,72.4
1953-09,2.12,62.4
1953-10,1.81,55.3
1953-11,0.52,40.5
1953-12,2.17,27.7
1954-01,0.76,19.8
1954-02,0.63,32.8
1954-03,1.19,31.5
1954-04,4.09,49.4
1954-05,2.99,53.2
1954-06,7.37,71
1954-07,5.73,73
1954-08,2.78,69.1
1954-09,3.82,62.9
1954-10,3.72,50.4
1954-11,0.81,37.8
1954-12,1.2,23.9
1955-01,0.65,18.9
1955-02,1.67,20.7
1955-03,0.96,30.6
1955-04,3.65,53.1
1955-05,2.1,60.2
1955-06,2.78,65.4
1955-07,3.93,78.1
1955-08,1.55,75.7
1955-09,0.81,63
1955-10,3.24,51.4
1955-11,0.57,31.5
1955-12,0.6,19.6
1956-01,0.43,21
1956-02,1,22.4
1956-03,2.54,30
1956-04,3.55,43.6
1956-05,5.11,57
1956-06,3.24,71.8
1956-07,4.5,69.9
1956-08,5.65,70.7
1956-09,1.42,59.8
1956-10,0.31,55.7
1956-11,2.78,35.7
1956-12,1.01,25.6
1957-01,0.42,13.1
1957-02,0.39,27.3
1957-03,1.19,33.2
1957-04,2.4,47.8
1957-05,5.8,55.2
1957-06,6.42,67.5
1957-07,4,73.1
1957-08,4.86,69.8
1957-09,0.96,59.2
1957-10,2.14,47.4
1957-11,2.91,35.3
1957-12,1.41,27.9
1958-01,0.52,20.9
1958-02,0.09,17
1958-03,0.38,33.9
1958-04,2.74,46.7
1958-05,3.93,58.3
1958-06,2.17,62.6
1958-07,1.7,69.4
1958-08,2.06,71.1
1958-09,2.44,61.4
1958-10,2.5,52.8
1958-11,2.29,37.6
1958-12,0.31,16.4
1959-01,1.4,10.5
1959-02,1.58,16.3
1959-03,2.91,29.3
1959-04,4.01,46.2
1959-05,3.06,62.9
1959-06,3.87,69
1959-07,4.12,71
1959-08,5.67,74.5
1959-09,3.44,63.7
1959-10,5.55,46.5
1959-11,2.29,27.1
1959-12,2.45,31
